0	In the beginning God created the heavens and the earth. Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters.
1	And God said, Let there be light, and there was light. God saw that the light was good, and he separated the light from the darkness. God called the light day, and the darkness he called night. And there was evening, and there was morning—the first day.
1	And God said, Let there be a vault between the waters to separate water from water. So God made the vault and separated the water under the vault from the water above it. And it was so. God called the vault sky. And there was evening, and there was morning—the second day.
1	And God said, Let the water under the sky be gathered to one place, and let dry ground appear. And it was so. God called the dry ground land, and the gathered waters he called seas. And God saw that it was good.
1	Then God said, Let the land produce vegetation: seed-bearing plants and trees on the land that bear fruit with seed in it, according to their various kinds. And it was so. The land produced vegetation: plants bearing seed according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. And there was evening, and there was morning—the third day.
1	And God said, Let there be lights in the vault of the sky to separate the day from the night, and let them serve as signs to mark sacred times, and days and years, and let them be lights in the vault of the sky to give light on the earth. And it was so. God made two great lights—the greater light to govern the day and the lesser light to govern the night. He also made the stars. God set them in the vault of the sky to give light on the earth, to govern the day and the night, and to separate light from darkness. And God saw that it was good. And there was evening, and there was morning—the fourth day.
1	And God said, Let the water teem with living creatures, and let birds fly above the earth across the vault of the sky. So God created the great creatures of the sea and every living thing with which the water teems and that moves about in it, according to their kinds, and every winged bird according to its kind. And God saw that it was good. God blessed them and said, Be fruitful and increase in number and fill the water in the seas, and let the birds increase on the earth. And there was evening, and there was morning—the fifth day.
1	And God said, Let the land produce living creatures according to their kinds: the livestock, the creatures that move along the ground, and the wild animals, each according to its kind. And it was so. God made the wild animals according to their kinds, the livestock according to their kinds, and all the creatures that move along the ground according to their kinds. And God saw that it was good.
1	God saw all that he had made, and it was very good. And there was evening, and there was morning—the sixth day.
1	Blessed is he who reads and those who hear the words of the prophecy, and keep the things that are written in it, for the time is at hand.
1	John, to the seven assemblies that are in Asia: Grace to you and peace, from God, who is and who was and who is to come; and from the seven Spirits who are before his throne; 1:5 and from Jesus Christ, the faithful witness, the firstborn of the dead, and the ruler of the kings of the earth. To him who loves us, and washed us from our sins by his blood; 1:6 and he made us to be a Kingdom, priests* to his God and Father; to him be the glory and the dominion forever and ever. Amen.
0	Behold, he is coming with the clouds, and every eye will see him, including those who pierced him. All the tribes of the earth will mourn over him. Even so, Amen.
0	I turned to see the voice that spoke with me. Having turned, I saw seven golden lampstands. 1:13 And among the lampstands was one like a son of man,* clothed with a robe reaching down to his feet, and with a golden sash around his chest. His head and his hair were white as white wool, like snow. His eyes were like a flame of fire. 1:15 His feet were like burnished brass, as if it had been refined in a furnace. His voice was like the voice of many waters. He had seven stars in his right hand. Out of his mouth proceeded a sharp two-edged sword. His face was like the sun shining at its brightest. When I saw him, I fell at his feet like a dead man.
0	I know your works, and your toil and perseverance, and that you can’t tolerate evil men, and have tested those who call themselves apostles, and they are not, and found them false. You have perseverance and have endured for my name’s sake, and have* not grown weary. But I have this against you, that you left your first love. Remember therefore from where you have fallen, and repent and do the first works; or else I am coming to you swiftly, and will move your lampstand out of its place, unless you repent. But this you have, that you hate the works of the Nicolaitans, which I also hate. He who has an ear, let him hear what the Spirit says to the assemblies. To him who overcomes I will give to eat of the tree of life, which is in the Paradise of my God.
0	I know your works, oppression, and your poverty (but you are rich), and the blasphemy of those who say they are Jews, and they are not, but are a synagogue of Satan. Don’t be afraid of the things which you are about to suffer. Behold, the devil is about to throw some of you into prison, that you may be tested; and you will have oppression for ten days. Be faithful to death, and I will give you the crown of life. He who has an ear, let him hear what the Spirit says to the assemblies. He who overcomes won’t be harmed by the second death.
1	I know your works, your love, faith, service, patient endurance, and that your last works are more than the first. 
0	But I have this against you, that you tolerate your woman, Jezebel, who calls herself a prophetess. She teaches and seduces my servants to commit sexual immorality, and to eat things sacrificed to idols. I gave her time to repent, but she refuses to repent of her sexual immorality. Behold, I will throw her into a bed, and those who commit adultery with her into great oppression, unless they repent of her works. I will kill her children with Death, and all the assemblies will know that I am he who searches the minds and hearts. I will give to each one of you according to your deeds. But to you I say, to the rest who are in Thyatira, as many as don’t have this teaching, who don’t know what some call ‘the deep things of Satan,’ to you I say, I am not putting any other burden on you. Nevertheless, hold that which you have firmly until I come. He who overcomes, and he who keeps my works to the end, to him I will give authority over the nations. He will rule them with a rod of iron, shattering them like clay pots;* as I also have received of my Father: and I will give him the morning star. He who has an ear, let him hear what the Spirit says to the assemblies.
